t,nCreatures,nFood
0,73,197
1,113,165
2,125,135
3,119,107
4,113,81
5,110,56
6,102,40
7,100,33
8,90,26
9,81,27
10,73,27
11,75,24
12,74,24
13,70,23
14,62,19
15,57,20
16,58,17
17,53,22
18,52,26
19,54,21
20,59,21
21,53,28
22,51,31
23,46,30
24,47,37
25,46,37
26,45,36
27,44,42
28,42,50
29,43,52
30,40,48
31,43,53
32,43,51
33,44,46
34,50,52
35,50,55
36,46,50
37,46,46
38,43,53
39,44,50
40,47,48
41,43,48
42,44,51
43,48,52
44,48,59
45,48,56
46,49,54
47,52,50
48,52,52
49,52,53
50,55,51
51,54,50
52,58,43
53,57,42
54,57,42
55,56,46
56,58,50
57,58,49
58,57,56
59,61,54
60,58,51
61,57,58
62,59,53
63,66,49
64,69,44
65,70,47
66,71,48
67,71,43
68,72,48
69,68,45
70,69,45
71,72,40
72,75,39
73,75,37
74,76,37
75,72,35
76,75,33
77,71,38
78,71,40
79,67,38
80,70,37
81,71,36
82,67,35
83,73,34
84,76,34
85,73,34
86,76,30
87,79,31
88,78,30
89,74,34
90,77,36
91,74,41
92,79,39
93,81,40
94,82,28
95,83,24
96,77,23
97,75,25
98,75,22
99,74,20
100,71,24
101,70,22
102,71,18
103,74,26
104,81,26
105,80,28
106,74,30
107,75,33
108,77,34
109,87,31
110,87,28
111,86,27
112,83,33
113,82,31
114,82,31
115,86,28
116,82,23
117,84,20
118,89,19
119,92,16
120,88,21
121,84,20
122,82,22
123,84,16
124,81,22
125,84,25
126,85,29
127,88,28
128,88,22
129,87,21
130,85,25
131,81,26
132,85,23
133,83,30
134,87,26
135,85,29
136,82,26
137,81,26
138,77,29
139,79,27
140,77,39
141,75,40
142,74,36
143,78,28
144,79,28
145,79,34
146,80,42
147,83,44
148,80,49
149,75,46
150,80,43
151,82,42
152,83,39
153,84,40
154,83,45
155,88,42
156,86,44
157,86,37
158,86,36
159,93,40
160,90,34
161,91,36
162,88,43
163,90,36
164,85,23
165,85,21
166,85,28
167,85,27
168,84,23
169,84,25
170,84,17
171,85,17
172,90,19
173,86,21
174,85,18
175,82,26
176,79,23
177,81,23
178,79,17
179,78,20
180,78,22
181,78,20
182,80,15
183,80,15
184,85,16
185,85,23
186,86,24
187,85,25
188,83,25
189,86,25
190,88,20
191,92,22
192,91,24
193,89,19
194,87,19
195,86,16
196,87,27
197,90,22
198,86,26
199,87,29
200,85,27
201,83,26
202,79,31
203,80,32
204,81,35
205,81,38
206,88,29
207,87,33
208,88,37
209,87,35
210,88,31
211,91,27
212,96,30
213,97,24
214,97,23
215,100,19
216,100,16
217,100,19
218,97,19
219,95,19
220,90,30
221,89,29
222,89,28
223,86,33
224,81,31
225,79,34
226,79,35
227,90,26
228,92,27
229,92,24
230,88,27
231,86,33
232,91,32
233,88,31
234,86,33
235,86,34
236,84,36
237,84,36
238,84,38
239,87,41
240,88,33
241,94,36
242,90,35
243,95,30
244,90,29
245,92,27
246,98,21
247,99,23
248,102,22
249,99,22
250,101,18
251,99,17
252,96,18
253,92,18
254,91,19
255,87,18
256,86,21
257,89,23
258,88,28
259,82,30
260,80,28
261,78,32
262,78,36
263,75,43
264,72,37
265,79,33
266,84,37
267,84,35
268,85,31
269,85,29
270,83,30
271,85,32
272,83,28
273,82,30
274,77,32
275,76,31
276,78,27
277,80,31
278,80,39
279,79,41
280,84,34
281,93,30
282,90,25
283,89,25
284,87,30
285,87,32
286,88,32
287,81,35
288,81,33
289,81,33
290,74,35
291,82,39
292,78,35
293,83,31
294,82,32
295,87,26
296,88,33
297,91,29
298,90,27
299,88,29
300,91,34
301,89,32
302,90,29
303,92,32
304,90,33
305,90,29
306,91,26
307,93,29
308,87,28
309,89,32
310,94,28
311,97,24
312,96,27
313,99,30
314,98,30
315,105,25
316,101,29
317,101,29
318,103,25
319,104,20
320,110,22
321,110,23
322,108,24
323,105,25
324,104,34
325,103,26
326,100,24
327,102,26
328,98,25
329,99,20
330,99,18
331,97,19
332,94,13
333,90,16
334,88,20
335,88,26
336,85,26
337,86,29
338,88,25
339,86,30
340,85,31
341,85,29
342,85,35
343,84,33
344,85,31
345,84,34
346,83,36
347,81,32
348,80,31
349,85,37
350,85,33
351,84,36
352,83,34
353,81,36
354,82,34
355,84,33
356,90,30
357,91,31
358,93,34
359,89,33
360,88,36
361,91,38
362,93,45
363,95,34
364,99,32
365,95,31
366,94,32
367,96,31
368,97,28
369,103,27
370,98,24
371,100,30
372,101,33
373,99,32
374,98,31
375,95,24
376,96,25
377,96,22
378,95,29
379,98,30
380,99,33
381,95,36
382,96,31
383,99,35
384,98,34
385,96,39
386,95,33
387,91,31
388,88,29
389,87,29
390,85,33
391,88,30
392,92,31
393,88,36
394,86,29
395,90,30
396,87,36
397,91,32
398,91,34
399,88,32
400,89,34
401,90,36
402,91,36
403,90,30
404,90,40
405,94,40
406,94,37
407,94,42
408,97,38
409,96,34
410,98,33
411,101,34
412,107,38
413,103,33
414,104,30
415,100,32
416,100,35
417,101,35
418,95,34
419,98,37
420,100,31
421,100,31
422,100,24
423,97,17
424,94,23
425,100,23
426,100,25
427,100,23
428,99,32
429,97,30
430,93,35
431,97,33
432,99,35
433,103,32
434,102,30
435,109,25
436,109,30
437,107,31
438,110,28
439,105,27
440,104,19
441,101,21
442,101,23
443,98,16
444,96,22
445,93,21
446,93,19
447,94,18
448,88,21
449,90,20
450,88,23
451,89,23
452,92,19
453,92,16
454,88,15
455,83,19
456,84,25
457,80,29
458,77,29
459,77,32
460,75,34
461,79,33
462,81,37
463,80,33
464,76,37
465,78,38
466,80,37
467,82,30
468,76,35
469,78,29
470,78,34
471,78,39
472,86,34
473,81,30
474,83,26
475,85,26
476,82,27
477,80,30
478,81,39
479,86,36
480,90,40
481,92,35
482,94,31
483,98,28
484,100,23
485,102,26
486,96,21
487,96,18
488,95,19
489,91,21
490,84,24
491,86,22
492,85,25
493,85,26
494,81,23
495,88,27
496,91,21
497,87,24
498,90,32
499,87,30
500,91,23
501,90,25
502,90,20
503,92,29
504,88,31
505,85,31
506,85,35
507,94,39
508,97,40
509,102,35
510,100,27
511,102,28
512,102,25
513,103,23
514,102,19
515,98,19
516,97,25
517,95,21
518,98,21
519,93,25
520,94,31
521,98,26
522,100,21
523,98,25
524,96,32
525,94,30
526,96,29
527,94,29
528,91,32
529,91,27
530,93,26
531,93,28
532,91,22
533,92,22
534,89,27
535,87,21
536,91,21
537,88,18
538,91,16
539,90,18
540,90,27
541,92,26
542,87,29
543,85,30
544,83,24
545,82,17
546,81,21
547,78,26
548,79,31
549,77,30
550,73,33
551,70,37
552,68,38
553,73,37
554,71,37
555,68,36
556,69,34
557,75,33
558,77,37
559,79,33
560,81,26
561,79,26
562,81,28
563,81,23
564,78,26
565,81,31
566,81,35
567,80,34
568,80,38
569,85,39
570,88,42
571,91,44
572,88,48
573,98,43
574,98,41
575,97,40
576,98,43
577,101,41
578,101,36
579,109,30
580,104,35
581,102,34
582,99,35
583,97,32
584,98,27
585,94,29
586,91,27
587,91,24
588,87,19
589,86,23
590,85,25
591,87,25
592,85,25
593,89,27
594,87,24
595,94,26
596,96,29
597,95,35
598,94,30
599,89,30
600,92,26
601,92,33
602,95,37
603,91,33
604,91,26
605,91,24
606,90,26
607,91,26
608,89,28
609,87,26
610,87,28
611,92,25
612,88,28
613,84,25
614,82,21
615,79,19
616,80,21
617,83,23
618,84,25
619,81,26
620,86,26
621,88,22
622,86,27
623,88,20
624,83,26
625,84,28
626,87,22
627,89,20
628,87,28
629,90,32
630,89,35
631,90,31
632,89,37
633,87,38
634,92,39
635,91,41
636,89,36
637,87,32
638,84,34
639,80,35
640,78,34
641,84,34
642,84,36
643,86,37
644,85,36
645,85,36
646,84,35
647,80,36
648,80,40
649,86,41
650,89,36
651,91,31
652,89,35
653,93,28
654,92,29
655,92,24
656,93,24
657,95,26
658,95,28
659,90,30
660,97,31
661,92,35
662,89,34
663,85,36
664,84,31
665,84,29
666,81,33
667,79,42
668,83,35
669,84,37
670,83,39
671,82,33
672,85,32
673,80,29
674,81,31
675,80,40
676,79,37
677,78,31
678,78,32
679,78,36
680,72,29
681,73,31
682,79,34
683,78,34
684,83,36
685,83,35
686,85,29
687,85,32
688,86,28
689,82,33
690,81,30
691,79,26
692,79,24
693,82,33
694,82,29
695,84,31
696,83,33
697,86,27
698,89,23
699,91,21
700,92,22
701,93,21
702,91,23
703,88,28
704,83,25
705,87,21
706,89,20
707,88,24
708,86,20
709,84,22
710,83,20
711,83,21
712,81,24
713,83,30
714,84,28
715,85,25
716,85,29
717,87,32
718,93,30
719,94,28
720,96,35
721,103,37
722,105,34
723,101,35
724,100,27
725,99,24
726,102,29
727,110,28
728,113,26
729,110,24
730,112,24
731,103,24
732,102,21
733,100,24
734,98,23
735,96,21
736,95,24
737,91,22
738,89,27
739,89,31
740,89,37
741,89,35
742,89,35
743,96,28
744,91,26
745,88,26
746,88,24
747,91,21
748,91,24
749,89,26
750,89,23
751,85,22
752,84,21
753,79,30
754,79,33
755,77,33
756,78,29
757,81,23
758,82,24
759,82,25
760,85,20
761,85,24
762,89,22
763,88,23
764,83,25
765,83,29
766,79,24
767,85,29
768,89,23
769,93,20
770,97,16
771,96,21
772,94,20
773,92,17
774,91,21
775,93,26
776,92,26
777,92,25
778,91,30
779,87,34
780,87,32
781,84,42
782,88,38
783,85,32
784,88,35
785,88,28
786,88,30
787,85,34
788,86,39
789,83,33
790,81,37
791,82,36
792,82,36
793,81,41
794,83,39
795,88,37
796,90,35
797,95,32
798,92,36
799,98,29
800,100,30
801,102,28
802,100,22
803,98,21
804,98,21
805,99,30
806,106,29
807,109,27
808,108,22
809,106,22
810,105,17
811,101,19
812,104,16
813,102,14
814,97,17
815,95,18
816,93,19
817,87,22
818,85,28
819,86,25
820,86,27
821,91,26
822,91,25
823,91,22
824,90,23
825,86,19
826,84,22
827,84,25
828,85,23
829,86,20
830,86,19
831,87,21
832,89,24
833,91,27
834,92,22
835,93,22
836,90,20
837,93,23
838,97,19
839,93,14
840,90,17
841,91,19
842,88,24
843,85,22
844,89,20
845,85,18
846,82,28
847,86,28
848,91,27
849,92,25
850,91,30
851,93,32
852,94,31
853,93,32
854,94,34
855,87,37
856,87,32
857,91,30
858,90,27
859,88,28
860,91,32
861,90,32
862,96,36
863,99,39
864,96,38
865,96,36
866,92,40
867,100,33
868,102,30
869,100,27
870,98,24
871,101,20
872,102,21
873,97,25
874,97,26
875,98,33
876,102,32
877,103,35
878,105,29
879,108,31
880,107,26
881,109,28
882,106,31
883,107,28
884,103,34
885,107,29
886,105,28
887,110,23
888,107,22
889,109,18
890,104,22
891,101,27
892,101,24
893,101,20
894,101,23
895,102,26
896,110,23
897,106,19
898,103,19
899,101,18
900,102,17
901,100,17
902,101,19
903,103,19
904,103,26
905,101,23
906,95,21
907,98,18
908,101,19
909,103,19
910,104,18
911,103,27
912,100,33
913,99,34
914,102,36
915,104,29
916,104,33
917,100,31
918,105,36
919,106,33
920,104,37
921,98,27
922,98,28
923,96,28
924,99,25
925,99,24
926,99,21
927,106,21
928,105,34
929,108,28
930,113,26
931,113,19
932,114,22
933,115,21
934,112,19
935,109,18
936,106,23
937,105,20
938,100,18
939,100,25
940,101,26
941,101,26
942,102,19
943,104,17
944,101,21
945,99,27
946,99,26
947,97,25
948,100,28
949,95,23
950,96,23
951,93,30
952,91,26
953,85,30
954,86,33
955,86,41
956,90,38
957,94,34
958,96,27
959,96,28
960,98,25
961,98,26
962,101,35
963,107,28
964,104,37
965,109,37
966,109,37
967,103,39
968,106,45
969,112,46
970,107,46
971,107,45
972,106,40
973,110,39
974,113,40
975,115,36
976,110,31
977,109,26
978,108,28
979,105,22
980,105,19
981,103,18
982,100,22
983,97,23
984,97,28
985,95,34
986,92,34
987,94,37
988,91,33
989,91,35
990,93,30
991,88,27
992,88,26
993,91,23
994,90,25
995,94,27
996,91,28
997,86,30
998,88,29
999,90,29
1000,87,34
1001,83,30
