t,nCreatures,nFood
252,47,41
253,52,41
254,50,43
255,53,43
256,53,37
257,50,37
258,51,45
259,53,43
260,60,39
261,61,37
262,57,35
263,55,36
264,53,39
265,56,33
266,52,28
267,57,30
268,61,25
269,64,24
270,63,21
271,61,24
272,62,24
273,68,12
274,68,12
275,65,19
276,60,12
277,57,14
278,54,19
279,55,18
280,56,17
281,61,18
282,59,17
283,55,19
284,53,28
285,57,27
286,54,27
287,52,26
288,55,24
289,61,25
290,60,31
291,59,26
292,57,27
293,54,28
294,54,30
295,53,24
296,53,24
297,57,18
298,62,21
299,64,20
300,67,22
301,65,15
302,63,22
303,64,27
304,62,31
305,66,33
306,64,32
307,64,35
308,65,37
309,63,33
310,62,33
311,65,45
312,68,40
313,69,40
314,65,39
315,70,36
316,72,41
317,70,35
318,73,31
319,71,33
320,70,29
321,73,20
322,73,22
323,73,12
324,67,20
325,59,19
326,60,20
327,60,21
328,59,27
329,58,25
330,59,21
331,55,24
332,55,27
333,56,25
334,54,26
335,53,25
336,58,25
337,57,25
338,57,30
339,55,26
340,54,23
341,55,26
342,55,24
343,53,30
344,55,26
345,60,29
346,62,22
347,60,17
348,57,24
349,60,20
350,57,23
351,62,22
352,62,23
353,62,22
354,65,25
355,64,22
356,67,21
357,63,20
358,65,15
359,65,20
360,69,24
361,65,25
362,59,25
363,59,28
364,58,29
365,57,25
366,54,30
367,55,33
368,55,31
369,59,23
370,60,22
371,61,25
372,62,25
373,62,24
374,57,28
375,55,29
376,53,32
377,57,32
378,59,35
379,59,37
380,62,36
381,61,28
382,62,26
383,63,23
384,65,22
385,65,24
386,68,22
387,69,21
388,69,21
389,72,18
390,73,16
391,72,17
392,74,16
393,68,24
394,67,27
395,66,28
396,65,33
397,65,25
398,64,24
399,62,26
400,62,30
401,66,29
402,64,22
403,63,26
404,65,20
405,63,26
406,73,25
407,75,24
408,76,27
409,72,27
410,71,24
411,67,17
412,70,17
413,72,13
414,72,12
415,70,15
416,72,18
417,71,16
418,73,21
419,73,20
420,74,30
421,71,32
422,69,32
423,71,30
424,72,36
425,69,37
426,75,31
427,72,25
428,74,20
429,71,22
430,76,21
431,71,23
432,68,20
433,66,24
434,71,19
435,67,24
436,66,26
437,62,31
438,61,27
439,58,25
440,60,32
441,62,30
442,59,31
443,59,31
444,62,32
445,63,37
446,64,36
447,65,34
448,63,36
449,64,27
450,61,34
451,58,38
452,58,39
453,58,34
454,64,26
455,66,30
456,65,26
457,64,24
458,64,18
459,63,19
460,63,21
461,60,22
462,59,24
463,60,31
464,63,29
465,62,31
466,61,31
467,64,33
468,65,33
469,75,30
470,76,30
471,75,27
472,76,22
473,72,22
474,69,27
475,70,23
476,70,22
477,69,27
478,66,32
479,64,29
480,65,31
481,68,34
482,66,32
483,63,23
484,69,23
485,73,23
486,69,24
487,69,27
488,73,24
489,71,26
490,69,20
491,70,23
492,74,21
493,72,17
494,70,15
495,69,20
496,66,21
497,66,23
498,67,19
499,65,23
500,66,18
501,64,20
