nKids,energyChildrenThreshold,speed,pfSize,cause,t,age
3.0,3.0,2.237150020846437,4.095284684678651,natural,0,0
3.0,3.0,2.5368573733590205,7.471090312826986,natural,0,0
3.0,3.0,2.109449790932625,5.752603090801855,breed,0,2
3.0,3.0,1.9467206232953722,7.898164766225849,breed,0,2
3.0,3.0,5.77741072680513,8.294470218854649,breed,0,2
3.0,3.0,1.932641702759749,8.892130576442257,breed,0,2
3.0,3.0,3.583240913180786,7.409225617117548,breed,0,2
3.0,3.0,4.726188880873718,7.041658182328567,breed,0,2
3.0,3.0,5.624953993065372,9.522176226002134,breed,0,2
3.0,3.0,4.839612671850168,8.223952372183547,breed,0,2
3.0,3.0,4.175009414814255,4.495595044771626,breed,0,2
3.0,3.0,4.251837902905793,4.434927183536452,breed,0,2
3.0,3.0,1.5996831091250343,9.096835726376296,breed,0,2
3.0,3.0,4.774834801906184,4.272600028974785,breed,0,2
3.0,3.0,1.2779806345375924,4.26510728745286,breed,0,2
3.0,3.0,5.575345413381523,7.295914680153311,breed,0,2
3.0,3.0,3.2199144621656957,6.841638628057289,breed,0,2
3.0,3.0,5.83334891699099,7.932752325025115,breed,0,2
3.0,3.0,2.3574439984653104,7.8452917718229624,breed,0,2
3.0,3.0,3.966847039701241,8.991803819198287,breed,0,2
3.0,3.0,3.9898180036993613,7.257262986123386,breed,0,2
3.0,3.0,2.841255521390745,8.616864083153459,breed,0,2
3.0,3.0,5.00829979722914,7.411630749255282,breed,0,2
3.0,3.0,1.931086314029026,8.217228470149823,natural,0,1
3.0,3.0,3.980274626893066,6.8174392671472885,breed,1,3
3.0,3.0,5.394279208413302,4.856423457614236,breed,1,3
3.0,3.0,4.604612828646351,9.137573385288292,energy,1,2
3.0,3.0,1.9065463757135594,5.127794079310101,breed,1,3
3.0,3.0,5.584613999121403,9.071940399834801,energy,1,2
3.0,3.0,1.7005012410725726,8.242773823809681,breed,1,3
3.0,3.0,3.321199795733807,7.490784710463673,breed,1,3
3.0,3.0,2.4036029597278303,5.349955930263287,breed,1,3
3.0,3.0,3.441950453941726,9.200280962102141,breed,1,3
3.0,3.0,3.963665780654154,4.381556588960392,natural,1,0
3.0,3.0,4.972369102343599,6.753642134376722,energy,1,2
3.0,3.0,3.4535001489863384,7.463637860783343,breed,1,3
3.0,3.0,1.109708006242088,4.607149951594196,breed,1,3
3.0,3.0,3.5793083955040603,9.573915431317609,energy,2,3
3.0,3.0,5.501018477161623,7.018267644181428,energy,2,3
3.0,3.0,3.8301520653055565,7.083257313390499,energy,2,1
3.0,3.0,5.25296685491276,5.710238245631745,natural,2,3
3.0,3.0,5.33502492427449,9.958344785752749,energy,2,1
3.0,3.0,1.6445682319069745,7.015472193699198,breed,2,4
3.0,3.0,5.162324500534532,7.765269290047112,energy,2,1
3.0,3.0,4.97689533682215,6.6707847890832355,breed,2,4
3.0,3.0,4.941961274859267,4.0,energy,2,1
3.0,3.0,1.9428473830518813,7.841491405083978,breed,2,4
3.0,3.0,2.775574863350376,7.020826406903124,breed,2,4
3.0,3.0,3.5248147107002197,6.666516952028938,energy,2,1
3.0,3.0,5.08501484297939,7.090533425976133,energy,2,1
3.0,3.0,5.844277768631201,9.546872377573187,energy,2,1
3.0,3.0,4.5678772935712075,4.376649008971443,energy,2,1
3.0,3.0,2.4033215240578194,5.084741321461263,breed,2,4
3.0,3.0,2.368291449095125,8.351250059867812,breed,2,4
3.0,3.0,4.658809785530163,6.908432278630688,breed,2,4
3.0,3.0,4.73099983471293,5.130662232778867,breed,2,4
3.0,3.0,3.620910800760802,9.326707732486208,energy,2,1
3.0,3.0,4.9100096153288835,7.43257108271809,energy,2,1
3.0,3.0,5.0037868717498295,6.782954227049893,energy,2,1
3.0,3.0,5.807673267457571,7.637705661998367,energy,2,1
3.0,3.0,5.652884480863923,7.42267914015653,breed,2,4
3.0,3.0,5.612332780516279,8.630508553018188,energy,2,1
3.0,3.0,4.176730934119976,4.195396005704604,natural,2,1
3.0,3.0,4.11916733244837,9.392643119011824,energy,2,1
3.0,3.0,5.601073884812105,8.070926326163937,energy,2,1
3.0,3.0,5.2804123982744775,7.756518427417,energy,2,1
3.0,3.0,3.749977049012144,7.063915144522282,energy,2,1
3.0,3.0,1.135925988107974,6.89843492991878,breed,2,4
3.0,3.0,5.954918903673881,8.230184142424728,energy,2,1
3.0,3.0,4.43461508753465,7.119384292201499,energy,2,1
3.0,3.0,1.294440882371223,6.353195756969637,breed,2,4
3.0,3.0,2.378264512091784,5.558905047996044,natural,3,2
3.0,3.0,4.524011795126429,6.613851943198456,natural,3,0
3.0,3.0,3.691733858152243,7.013935214440734,energy,3,2
3.0,3.0,5.784870643304161,7.832079319860241,energy,3,4
3.0,3.0,3.592877164191389,4.78444049947477,natural,3,4
3.0,3.0,1.0930013125965223,4.443173735603754,breed,3,2
