nChildren,energyChildrenThreshold,toEnemies,toFriends,genomeThreshold,t,age,causeOfDeath
10.23295150106067,1.7270377093502323,-0.6089446044503237,-0.3889956832575505,1.9379315877294085,0,1,accident
12.02195918371644,14.662553357680236,-1.2560560102244527,-2.329191326069356,0.5042247647134108,1,3,accident
5.110007972688102,1.4181115987624655,1.84795332490115,-1.071535304774543,1.119509729757684,1,3,breed
5.553750163923472,0.9767708293267174,2.048808868958943,-0.9147089126382366,1.1196906379215459,5,4,energy
14.751185951918615,6.019888182441672,-2.5832715012203,1.47578197983856,1.3920016665281136,5,7,accident
5.183391053722092,13.874017338075205,-1.2290271054565505,2.20071776904844,1.6753702503033392,5,7,accident
14.914042336830335,11.747847773950006,-2.0113503115900104,1.7306714318780028,1.5042518898182573,6,8,accident
12.631838749438666,11.058725051889361,2.634305490454188,-0.37338378862061017,1.795362062556887,6,8,accident
13.785826083492951,4.188411546606151,0.9963640578901045,2.9700936340811515,0.6861778075159415,6,8,accident
13.231849716964014,14.810940360088425,1.4898709369724976,-0.5464891219194534,1.4699983500036922,7,9,accident
14.116716969797825,4.467597570596194,-2.8890531267129824,-0.48589270482840163,0.8539121226388355,8,10,accident
5.344744741200809,0.7492850675021412,1.5968254711073468,-0.9833796000862005,1.2092636557984866,9,8,breed
7.0832954674100925,1.7182966987061639,-1.768800605656919,-1.1130999925466973,1.5523457138258072,9,11,accident
5.956015232531711,0.2935558022660544,1.8232036343533151,-0.9869485284301205,1.1121697991465993,11,2,energy
4.977609683011342,1.212157734710715,1.6485880757671758,-1.246466194270002,1.1411798287211636,11,2,energy
2.125204744868876,8.921727777602614,0.3626072436105754,1.668891935915478,1.435306174392743,13,15,energy
4.5866363805772865,1.895712004165616,-2.6234454481459255,1.6487374709573608,0.6035463018094991,13,15,energy
12.582517923191002,5.129506048450255,-2.4088641372802018,-0.31089521247986607,1.046850312372203,13,15,accident
9.530633111030863,7.356679071300085,2.0259773006483277,-1.4075720135109846,0.5358336302161004,13,15,accident
11.557981811509123,8.382042805886979,1.0213493178371174,1.682336648013452,0.8040819462138167,13,15,energy
11.434690616887563,14.696483298684097,0.8363054082902694,-2.0522294069179328,1.5593312493940208,14,16,energy
13.62190739004221,3.0204151290410755,-0.7180002639757346,-2.377050909255524,0.8420703778671914,14,16,energy
1.014245287694192,5.62585425639321,-0.7812838918444398,-1.1523176654662215,0.8289041537089763,14,16,energy
9.064012640253397,4.184687598675751,1.2246821180964043,2.2096332315874765,1.6454438133871157,14,16,energy
13.629854571188318,13.274221462192664,0.5625015623744867,-2.255832754041813,1.947350954345121,14,16,energy
6.904156559523832,11.96502542382903,-1.990470914656102,-0.769126245475241,1.9716881949434983,14,16,energy
13.287673828288149,6.777224276030954,0.8175677922534987,1.5913640855847877,1.1116267006404688,15,17,accident
5.271773804270005,1.3297218886117996,1.458701837038257,-1.2317210162242964,1.1271894943520147,15,6,energy
11.654109885423528,2.3862874134591183,2.248628281024656,0.6415904276897475,1.1742680194883561,20,22,breed
11.966241514005796,12.007182586637855,-2.8360199697183224,-0.4199991005707435,0.14778322394340937,20,22,accident
11.399980522551715,2.1390808728028707,-0.8876369164347171,-0.8623496331512035,0.5022490347709772,21,23,breed
11.869288435973685,2.1919532960420702,-1.1281164391294878,-0.9213159418886399,0.5101814840142175,23,2,energy
12.24297636316195,1.871745542844995,2.1413865008674637,0.9178727433903004,1.2443269821290563,23,3,energy
5.153924573963328,1.557955793281832,2.0545603198260505,-0.7849275848764257,1.1981418391687302,27,26,accident
1.107899513841261,10.355143981091647,-1.640922011436067,0.5922625766973786,0.5356187309271958,28,30,energy
1.8076775079537883,7.9399360017888725,-1.976642278106994,-0.4571531009692995,1.042803907521153,28,30,energy
10.770177738957633,2.3823858242267257,-0.6923195908571369,-0.8667515166859525,0.5323356726757518,28,7,energy
11.802790439787799,2.6005037218730025,2.451205936210785,0.9381911075747951,1.1401819181042772,29,9,energy
11.488087793608306,2.2383572029202536,-1.144577478477904,-1.0609224118816916,0.5173537955220233,31,10,breed
12.011160421576044,2.2369838939156867,-1.372524263418316,-0.9936507356470909,0.4700708752053587,33,2,energy
10.806031208201164,1.6764264503161699,-1.103060390890044,-1.2989845549588235,0.5935689324046625,35,4,breed
12.185205871188773,2.876807632722883,2.0069916333286253,0.5382826044683382,1.2318700028841303,35,15,accident
11.497044653027334,1.4988447418244502,-1.2892656978534787,-1.0689840437484985,0.5649470885695953,37,2,energy
11.921931003997175,2.463768241556203,-1.0742779488275223,-0.9992511328450444,0.5828591820235431,39,8,breed
10.223234787514087,1.5189130139300704,-1.0829853392522302,-1.2615209066975699,0.5247601069392726,39,4,accident
4.780110806546814,12.240300851329014,1.4305295631150035,1.210529355531519,0.1686814699976018,40,42,accident
11.96848808192436,4.252531088856119,0.24091544305134516,-1.1286573096289754,0.3260077176046423,41,43,breed
11.819982102047351,2.0460782207015376,-1.100748010274863,-1.098902827874321,0.49890046093397705,41,2,energy
11.510549474273123,2.274333525921577,-0.9467132850658446,-1.2635110469733108,0.5473876090793082,44,5,energy
12.137719291949029,3.674626867855696,0.3716458626002428,-0.8861954068789197,0.2285148218221696,44,3,accident
12.426972369291777,1.8297058924354246,-0.9552489045361785,-1.1180403579272162,0.5149355967082241,44,5,accident
11.606031287456322,4.234697856308397,0.5179898001231313,-0.9774680807906577,0.2510091368051982,47,6,accident
7.928522372150415,12.021473830631068,0.21201897653668667,-0.4925213211215893,0.8926553038564209,47,49,accident
12.656047817387929,4.300019718797205,0.22761702610799617,-1.2218397811877912,0.23229495631055372,48,7,energy
10.9298758405684,2.0902060260534356,-1.3394445455319204,-1.2218230723790653,0.5316517229546246,49,14,accident
8.132062431769418,14.160890245899308,-0.37849669115960083,-0.7403012994686198,1.8596033555997096,50,52,accident
